;;;;;;;;;INFORMACION EN USD;;;;;;;INFORMACION EN MXN;;;;;;;;;;;;;;;;;;;;;;;;;;
PROFIT;EJECUTIVO;T OPERACIÓN;SERIE;FACTURA;REFERENCIA;FECHA;CLIENTE;CLIENTENOMBRE;COMPROBADOS;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;TIPOCAMBIO;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;;;SERVICIO LOGISTICO ;HONORARIOS ;GASTOS EN ORIGEN ;MANIOBRAS;GASTOS EN DESTINO ;LIBERACION DE DOCUMENTOS ;REVALIDACION GUIA  / BOL;CUOTA ;SERVICIOS COMPLEMENTARIOS;;SERVICIO LOGISTICO ;HONORARIOS ;GASTOS EN ORIGEN ;MANIOBRAS;GASTOS EN DESTINO ;LIBERACION DE DOCUMENTOS ;REVALIDACION GUIA  / BOL;CUOTA ;SERVICIOS COMPLEMENTARIOS;
10%;LOREFANY ;T;2;2-003576;CGL25123842;07-ene-26;C0084;JOINT PRODUCTION TECTRAN ;USD 0,00;USD 1.200,00;USD 0,00;USD 1.200,00;USD 0,00;USD 1.200,00; 17,9697 ;21.563,64;0,00;21.563,64;0,00;21.563,64;;;1.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;21.563,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
67%;ALONSO;T;2;2-003581;CGL25123833;08-ene-26;C0084;JOINT PRODUCTION TECTRAN ;USD 0,00;USD 1.150,00;USD 0,00;USD 1.150,00;USD 0,00;USD 1.150,00; 17,9587 ;20.652,51;0,00;20.652,51;0,00;20.652,51;;;1.150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;20.652,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
27%;ELIAS;M;1;1-003582;CGL25123889;08-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;USD 0,00;USD 3.327,00;USD 0,00;USD 3.327,00;USD 0,00;USD 3.327,00; 17,9587 ;59.748,59;0,00;59.748,59;0,00;59.748,59;;;2.653,00;0,00;674,00;0,00;0,00;0,00;0,00;0,00;0,00;;47.644,43;0,00;12.104,16;0,00;0,00;0,00;0,00;0,00;0,00;
32%;ELIAS;M;1;1-003585;CGL25123903;13-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;USD 0,00;USD 3.327,00;USD 0,00;USD 3.327,00;USD 0,00;USD 3.327,00; 17,9075 ;59.578,25;0,00;59.578,25;0,00;59.578,25;;;2.653,00;0,00;674,00;0,00;0,00;0,00;0,00;0,00;0,00;;47.508,60;0,00;12.069,66;0,00;0,00;0,00;0,00;0,00;0,00;
44%;ELIAS;M;1;1-003587;CGL25123864;14-ene-26;C0106;DUNCAN MEXICO INCOMET;USD 0,00;USD 495,00;USD 0,00;USD 495,00;USD 495,00;USD 0,00; 17,8540 ;8.837,73;0,00;8.837,73;8.837,73;0,00;;;495,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;8.837,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
25%;LOREFANY ;T;2;2-003596;CGL26013948;21-ene-26;C0084;JOINT PRODUCTION TECTRAN ;USD 0,00;USD 749,00;USD 0,00;USD 749,00;USD 0,00;USD 749,00; 17,6008 ;13.183,00;0,00;13.183,00;0,00;13.183,00;;;749,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;13.183,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
58%;ELIAS ;M;1;1-003601;CGL26013914;26-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;USD 0,00;USD 887,00;USD 0,00;USD 887,00;USD 0,00;USD 887,00; 17,4545 ;15.482,14;0,00;15.482,14;0,00;15.482,14;;;607,00;0,00;0,00;0,00;0,00;0,00;280,00;0,00;0,00;;10.594,88;0,00;0,00;0,00;0,00;0,00;4.887,26;0,00;0,00;
21%;ELIAS;M;1;1-003613;CGL25123805;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;USD 0,00;USD 3.866,65;USD 0,00;USD 3.866,65;USD 0,00;USD 3.866,65; 17,2830 ;66.827,31;0,00;66.827,31;0,00;66.827,31;;;3.193,00;0,00;673,65;0,00;0,00;0,00;0,00;0,00;0,00;;55.184,62;0,00;11.642,69;0,00;0,00;0,00;0,00;0,00;0,00;
100%;ELIAS;M;1;1-003618;CGL25123834 // CGL25123847 // CGL25123890;29-ene-26;C0096;NEXT LOGISTICS XXI, S.L.;USD 0,00;USD 770,00;USD 0,00;USD 770,00;USD 0,00;USD 770,00; 17,2322 ;13.268,79;0,00;13.268,79;0,00;13.268,79;;;0,00;0,00;0,00;0,00;770,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;13.268,79;0,00;0,00;0,00;0,00;
50%;ELIAS;T ;2;2-003624;CGL26013930;29-ene-26;C0103;GSI FABRIL;USD 0,00;USD 1.110,00;USD 177,60;USD 1.287,60;USD 1.287,60;USD 0,00; 17,2322 ;19.127,74;3.060,44;22.188,18;22.188,18;0,00;;;1.110,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;19.127,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
54%;ELIAS;M ;1;1-003641;CGL25123863;30-ene-26;C0012;MEGALUMINIO SERVICIOS ;USD 0,00;USD 209,00;USD 0,00;USD 209,00;USD 209,00;USD 0,00; 17,2532 ;3.605,92;0,00;3.605,92;3.605,92;0,00;;;100,00;0,00;0,00;0,00;0,00;0,00;109,00;0,00;0,00;;1.725,32;0,00;0,00;0,00;0,00;0,00;1.880,60;0,00;0,00;
;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;USD 0,00;USD 17.090,65;USD 177,60;USD 17.268,25;USD 1.991,60;USD 15.276,65;;301.875,63;3.060,44;304.936,07;34.631,83;270.304,24;;;USD 13.910,00;USD 0,00;USD 2.021,65;USD 0,00;USD 770,00;USD 0,00;USD 389,00;USD 0,00;USD 0,00;;246.022,47;0,00;35.816,51;0,00;13.268,79;0,00;6.767,86;0,00;0,00;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USD 17.090,65;;;;;;;;;;301.875,63;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USD 0,00;;;;;;;;;;0,00;
;;;;;;;;;;;;;;;16;19.127,74;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;0; 282.747,89 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
